LateAfterNopre1,CNVAfterNopre1,LateAfterNopre2,CNVAfterNopre2
4,0.008769107516855,1,-0.00564439408481121
1,0.00556512006248037,2,0.00330692890565842
4,-0.00547297434726109,2,0.00460678567954649
4,-0.0192970509330432,2,-0.00441820880708595
1,-0.00454254200061162,1,-0.0070987519963334
1,0.00664875516667962,1,0.00889750911543767
1,-0.00172042727839046,2,-0.0029853453549246
4,0.0173026300326455,1,0.00537793586651484
4,-0.0138671817258,3,-0.0120384690041343
3,0.00131867965683341,4,-0.00319723377469927
4,0.016387468824784,2,0.00390613102354109
1,0.0104951169341803,1,0.030729353427887
4,0.00482132004496331,1,-0.00564480177126825
4,-0.000556220154976472,3,-0.00976915471255779
2,-0.00148543821220907,3,-0.00244081136770546
1,0.00447925149152676,1,-0.00395812831508617
4,0.00803394677738349,4,0.00101042647535602
4,-0.0121807701264819,1,-0.00565292360261083
4,-0.00151653173573626,2,0.00240674506252011
2,-0.0154584075013796,2,0.0151172112673521
1,0.0055869217030704,3,-0.00263430302341779
1,0.00461760064354166,4,-0.00012490611212949
3,0.00395974699252595,3,-0.000951198240121206
1,-0.00640265247784555,2,0.00177684814358751
2,0.00660278919773797,3,-0.00166192796314135
3,0.000870542678361138,4,0.00255451044843843
4,0.0164264782021443,1,-0.00150969453776876
2,0.00233835152660807,3,0.0112179471567894
4,0.00212305566916863,4,-0.00390377485503753
3,0.0031897770628954,1,0.00562810747457358
2,-0.0190956921627124,4,0.00606960337609053
3,-0.0038546643142278,1,0.00417153420858085
1,0.00396092246228363,4,-0.0104623132695754
4,-0.0105164848888914,1,-0.000853960363504787
3,-0.00259294915789117,4,-0.0135104255750775
2,-0.00734619485835234,1,-0.00257088659175982
1,-5.60471477607886e-05,4,0.000109008474585911
4,0.00216406168571363,1,0.0159406748910745
3,-0.00505560388167699,2,0.0109792266351481
4,-0.00244237009125451,1,0.0223609019691745
4,-0.00388925964944065,1,-0.00264519569464028
3,-0.00567484941954414,2,-0.0133088454604149
4,-0.00192346338493129,1,-0.016010501421988
4,0.00826131924986839,1,0.0101484439025323
4,-0.00681710289791226,1,0.00851582192505399
2,0.000179741587847578,2,-0.00115640208396902
3,0.0117926538611452,1,0.0153236482292414
1,-0.00548180324646334,1,-0.000181413178021709
3,-0.00545938111220797,1,-0.0238994813213746
2,0.000354771812756856,2,-0.00450000543302546
3,-0.0160177331417799,3,-0.00388973155835023
3,0.000538891608205934,2,0.0107163943660756
1,0.00606479107712706,2,0.00131805613636971
4,-0.0128792362908522,4,0.00525859987828881
2,-0.00985582467789451,1,-0.0173692116513848
2,-0.0013330966370025,1,0.0161541017393271
4,-0.0123727926984429,4,-0.000351197939986984
1,0.00303587185529371,3,0.00340594324128081
3,-0.00244869974752267,4,0.00102940857565651
2,0.000409459801934039,2,0.010820514212052
1,-0.00622492143884301,3,0.00874435280760129
2,0.00690081746627887,4,0.0120312543585896
1,0.00796117618059119,4,0.0024586016467462
4,0.0011803051068758,4,0.000960368124651723
1,0.00406318266565601,3,0.00969691853970289
1,0.001669949075828,1,0.0269276102383931
2,0.0162258831163247,1,0.0101196498144418
3,-0.00818401978661617,1,0.0115926318491499
4,-3.85877986749013e-06,3,-0.00374525723357995
4,0.00121633786087235,3,0.00486763126779503
1,0.00783632800448686,2,0.0123492215449611
3,0.0003442558615158,2,0.00662604521494359
4,0.00507375380645196,3,-0.00891396263614297
2,0.000353747493742655,1,-0.00780795881049319
1,-0.01154222805053,2,0.0101231484053036
4,-0.00310502405651884,1,-0.0176536825795968
3,-0.00312756204220932,2,-0.00132958113681525
3,-0.00911889021517709,3,0.00427170563489199
1,0.00484376396828641,3,0.00233310472685844
1,0.00340817802740882,4,-0.00481941380227606
3,0.0032399621559307,2,-0.00275583786424249
2,0.00948649582763513,3,-0.00196335658741494
4,0.00537008163519204,4,0.00741058700562765
4,0.0125580015204226,2,-0.00580577459186316
4,0.00172706371328483,2,-0.00170023075770587
2,0.00360054771105448,2,-0.00100267911329865
4,0.00345382078861197,2,-0.00339593427876631
1,0.00305952100704114,2,0.00613379600690678
4,-0.000359315735598405,4,-0.0153706942995389
3,-0.00204189688277741,1,0.0055688105057925
2,0.0116349092374245,4,0.0215603749578198
1,-4.66540222987533e-05,2,0.0107765293990572
1,-0.00433975495009993,1,0.0172968953847885
1,0.00337469585550328,3,0.00775262589255969
2,0.00269134913105518,3,0.0015240788149337
1,0.0186253155892094,4,-0.0118873153502742
4,-0.00957214335600535,4,0.00284935642654697
3,-0.00750439971064528,1,0.00283552805194631
4,0.0076993607605497,4,-0.0167287249738971
3,0.00591101957009717,1,-0.00690060264120499
2,0.011690389054517,3,-0.00848715127600978
3,-0.0030614718561992,1,-0.00527207584430774
2,-0.00141672871541232,2,0.0187258447209994
3,0.00322638613094265,1,0.00255090976133943
2,-0.0061058869274954,2,0.00889872169742982
1,-0.00204924959689379,2,0.00252556925018628
1,-0.000391852197992648,2,0.00814389918620388
1,-0.00983987608924508,4,-0.0112691432392846
1,0.000199095190813144,4,0.00164462067186832
3,-0.00684336037375033,1,-0.000392040858666102
2,-0.0080136611747245,3,-0.00314744732653101
4,-0.00921392183348265,1,0.0050824407953769
3,0.00326104807512214,4,-0.00365251357046266
