LateBefore,CNVBefore,LateAfter,CNVAfter
2,-0.00702634050200383,2,0.00770627645154794
3,0.00359281556544981,4,-0.00511087516012291
2,0.00640912509212891,4,-0.0113095318665728
3,-0.00219807535177097,3,-0.011517520993948
2,0.00137369142612442,4,0.00279392792920892
2,0.0047113784433653,2,0.00702381588052958
1,0.0007967467730244,1,0.00301785697229207
2,-0.00314817841475209,2,0.00546650243146966
4,0.0118894403179487,4,0.0182544427613417
1,0.00798069421822826,1,0.00397791938545803
4,-0.0111972672554354,4,0.0158764775842428
3,-0.00199285246587048,3,0.00511989804605643
3,0.0259356324871381,2,0.013168976486971
1,0.0108382704978188,1,-0.00746569029676418
4,-0.000495616967479388,1,-0.0159389125183225
2,-0.00308645858118931,1,0.00192959450456935
3,0.000159468501806259,1,-0.00449180204304866
4,0.00160189112648368,4,0.00860222541571905
3,-0.00341970566660166,3,-0.00214512972161174
2,0.0159130043660601,3,0.00303382333368063
4,0.00545892717006306,3,-0.00886687931294242
3,0.00281077716499567,2,0.00759480660781264
2,-0.00145182809986485,3,0.0120295711482565
3,-0.00431530960971334,3,-0.00863389337124924
4,0.00209725621001174,1,0.00275150407105684
3,0.00143343831102053,1,-0.00226847334609677
3,-0.00424548494629562,1,0.00827974698040634
3,0.0049177590602388,1,0.00579531631471279
3,0.00851184595376253,2,-0.000680704474992429
2,-0.00643646864530941,2,0.00217488594353199
3,-0.00277687252188722,1,0.00198093988001347
4,0.00325542634042601,4,-0.011144332587719
3,0.00147629963854949,4,0.00452003579509134
3,-0.00170713612654557,2,-0.00123033826821484
2,-0.00213524573094522,3,-0.00495801617701848
1,0.00408220950824519,1,-0.00502873173293968
1,-0.00755127620262404,1,-0.00768284780982261
4,0.00885444724311431,1,-0.00372076306181649
4,-0.0109244232686857,4,0.0181067949160933
1,0.00553905568085611,3,-0.000774526813377937
4,0.0018824206199497,1,-0.00909248103077213
4,-0.0134417259444793,2,0.00173349748850645
2,0.00364091216276089,4,0.00269492521814148
2,0.0159429010624687,2,-0.00326982544114192
4,-0.00216360172877709,4,0.00562183186411858
1,-0.000582666019909084,4,0.00849292892962694
3,-0.00616023313098898,4,-0.00153311504982412
2,0.00914332487930854,4,-0.0239051058888435
4,0.00535892508924007,3,-0.00724335794802755
4,-0.00333326030522585,4,-0.000437875123073657
2,0.0428392762939135,4,0.011143452487886
2,0.00385337020270526,4,-0.0036176551754276
1,-0.00414778543442177,3,-0.0126228208343188
3,-0.0183020429685712,1,0.0215982832014561
3,-0.000870918040163815,3,0.001456495684882
1,-0.0106555496652921,1,0.0203909926737348
3,-0.0164081705734134,1,-0.00322204828262329
1,0.00242264952976257,2,0.0220669402430455
4,-0.00572944944724441,1,-0.0281863280882438
2,0.00190006421568493,3,0.00474404993777474
4,0.0272196714455883,1,0.00887274881824851
3,-0.0157622490078211,3,-0.00214985199272633
4,-0.00080309536618491,2,-0.0147807981508474
3,-0.01148380098554,1,-0.0181485988820593
1,0.00882476040472587,1,-0.000518701272085309
1,0.00121468751846502,4,-0.00790790840983391
2,-0.0127952499315143,4,-0.0225342257569234
3,0.00310828630851271,4,-0.00520143331959844
2,-0.0188090090329448,1,-0.0021135436060528
1,9.67970117926598e-05,4,0.000585200148634613
2,0.00197159840414921,1,-0.000163874123245478
4,0.0129495101670424,1,0.0121921685834726
1,0.00283909601330379,3,-0.0145426432912548
1,-0.0025036889516438,1,-0.0136935195575158
4,0.00726504934330781,3,0.00670634376971672
1,-0.0115171617750699,1,0.00310104868064324
2,0.0132339692985018,4,0.00309930551641931
2,0.00920339114964008,3,0.00677164462589038
4,0.0113358749076724,4,0.00444298850197811
1,-0.00648754357825965,2,-0.00300983789687355
2,-0.0181286757191022,4,-0.0134605170848469
2,-0.000560343110313018,2,0.000592974751877288
3,-0.0188494070122639,4,-0.00513924689342578
4,-0.00770493674402436,3,0.00834079800794522
4,0.00313615791189174,2,0.0272687884668509
3,-0.00361700165861597,1,-0.0139729351115723
2,0.0104239427795013,4,-0.00990355263153712
3,0.0214508057882388,3,-0.0134931784123182
2,-0.00927267378817002,3,0.00685714565527936
3,0.00565766543149948,4,-0.00497243506833911
2,0.00594028667546809,3,0.00644095327394704
1,0.00607077249636253,3,0.0433155174056689
4,0.00111401934797565,1,0.00274674594402313
3,0.00868735648691654,4,0.00884377832214038
1,0.00199546498091271,1,0.0234463141338589
2,0.000316913336670647,3,-0.00645952749376496
1,-0.0103415342358251,4,-0.0162777161846558
1,0.00574326391021411,3,-0.019956109734873
4,0.00533479172736406,4,0.0201850682497025
4,0.015892317382774,3,-0.0105222680916389
3,0.00658622399593393,2,0.00744262182464202
2,0.00627380733688672,2,0.00398678549875816
2,0.0202344957118233,4,-0.00340018301297581
2,0.00367799969778086,4,0.00582107653220495
3,0.000559208604196707,3,-0.00202973660392066
2,-0.00360191256428758,1,0.0165187492966652
4,0.00811799398312966,2,-0.00251668127020821
1,-0.0160555184508363,4,0.0113621222165724
3,-0.00605883418271939,2,-0.00354389543645084
3,0.00150607836743196,3,0.00898517916599909
2,0.00200194337715705,4,-0.00388551854606097
4,0.00615823843205969,1,0.00867161925028389
4,-0.0110086235993852,3,0.00543049802460397
2,0.0115085120002429,3,-0.0148888357604543
2,0.0317516848444939,4,0.0208319596325358
3,0.0126811787486076,2,0.00743524606029193
1,0.00427611552489301,3,-0.00708938421060642
1,-0.0125306968887647,3,-0.00739037121335665
1,0.00695189624093473,2,0.0101135960624864
4,0.00458732487944265,2,0.00308024774615963
4,-0.00575538468547165,3,-0.00101258823027213
3,0.00701289810240269,4,0.00384569146748011
1,-0.00210104696452618,3,0.014223829532663
2,-0.014418871452411,1,-0.00360881599287192
3,-0.00268765166401863,3,0.00579958378026883
1,0.00796336028724909,4,0.00315523430860291
2,-0.0171151546140512,2,-0.00317497178912163
2,0.00979338306933641,2,0.0141749583805601
1,-0.000285917039339741,4,0.00062448096772035
3,-0.00514448558290799,4,-0.00656073230008284
2,-0.0063221698316435,4,-0.00127325995708816
4,-0.00172580576812228,2,-0.00595831987448037
2,0.00292987562716007,1,-0.00263056267673771
4,0.0241920196761688,3,0.0102389669045806
2,0.0113200408716997,4,0.00772389986862739
2,-0.00742837212358912,3,0.00470049368838469
