Lateness1,Lateness2,Lateness3,Lateness4
0.052,0,0.022,0.052
0.035,0.171,0.367,0
0.018,0.372,0.03,0.032
0.044,0.857,0.495,0.032
0,1,1,0.21
0.058,0.453,0.357,0
0,1,0.018,0
0,0.054,0.187,0.826
0.052,0.022,0.244,0.094
0.058,0.018,0.022,0
0,0.537,0.859,0.014
0.013,0.141,0.193,0
0.04,0.052,0.843,0.014
1,0.366,0.088,0.021
0.073,0.014,0.591,0.948
0,0.125,0.013,0.734
0.036,0.013,0.052,0.951
0.035,0.917,0.946,0.951
0.022,0.953,0.721,0.058
0.936,0.893,0.028,0.949
0.899,0.088,0.698,0.953
0.04,0.711,0.099,0.088
0.119,0,0.087,0.948
0.058,0.044,0.052,0.185
0.012,0.173,0.707,0.948
0.542,0.133,0.96,0.953
0,0.05,0.476,0.942
0.024,0.024,0.912,0.476
0.91,0.378,0.958,0.538
0.958,0.046,0.304,0.857
0.03,0,0.021,0.986
0.032,0.058,0.01,1
0,0.022,0.947,0.847
0.035,0.872,0.066,0.558
0.912,0.707,0.052,0.912
0.04,0.032,0,1
0.05,0.035,0.473,1
0.026,0.018,0.066,0.279
0.983,0.937,0.875,0.911
0,0.028,0.258,0.857
0.133,0.862,0.726,0.046
0.088,0,0.018,0.637
0,0.958,0.133,0.843
0.05,0.018,0.018,0.037
0.893,0.713,0,0.725
0.022,0.022,0.322,0.328
0.01,0.192,0,0.796
0.677,0.028,0.037,0.436
0.037,0.035,0,0.018
0.862,0.687,0.942,0.382
0.028,0.072,0.951,0.013
0.04,0,0.058,0.392
0.672,0.097,0.026,0.796
0.052,0.811,0.035,0.589
0.088,0.035,0.42,0.296
0.912,0,0.054,0.484
0.56,0.058,0.781,0.73
0.052,0,0.949,0.399
0.302,0.916,0.946,0.034
0.032,0,0.481,0.385
0.448,0.059,0.487,0.029
0.149,0.448,0.164,0.359
0.059,0.032,0.089,0.464
0.28,0.014,0,0.534
0.244,0.047,0.613,0.429
0.12,0.559,0.224,0.501
0.195,0.165,0.086,0.572
0.359,0.058,0.31,0.732
0.366,0,0.457,0.685
0.28,0.209,0.356,0.501
0.348,0.249,0.359,0.728
0.224,0.124,0.078,0.543
0.28,0.373,0.296,0.446
0.451,0.07,0.032,0.39
0.461,0.074,0.373,0.773
0.055,0.196,0.506,0.606
0.494,0.078,0.013,0.773
0.405,0,0.092,0.547
0.228,0.013,0.576,0.812
0.188,0.06,0.486,0.444
0.494,0,0.078,0.474
0.498,0.263,0.104,0.541
0.621,0.31,0.584,0.621
0.572,0.044,0.029,0.453
0.272,0.059,0.104,0.775
0.027,0.595,0.582,0.871
0.722,0.027,0.456,0.845
0.839,0.174,0.635,0.626
0.063,0.465,0.074,0.849
0.465,0.092,0.437,0.929
0.336,0.02,0.089,0.718
0.508,0.448,0.196,0.621
0.262,0.59,0.541,0.689
0.686,0.582,0.06,0.7
0.548,0.027,0.626,0.588
0.979,0.06,0.554,0.588
0.588,0.28,0.427,0.576
0.104,0.149,0.02,0.641
0.827,0.029,0,0.849
0.743,0.058,0.149,0.427
0.06,0.356,0.397,0.849
0.404,0.448,0.28,0.373
0.427,0.013,0.448,0.563
0.588,0.576,0.063,0.344
0.181,0.029,0.249,0.458
0.174,0.59,0.414,0.16
0.118,0.119,0.076,0.116
