Lateness1,Lateness2,Lateness3,Lateness4
0.422,0.5,0.444,0.008
0.037,0.008,0.493,0.008
0.22,0.555,0.448,0.008
0.037,0.179,0.007,0.008
0.18,0.525,0.668,0.105
0.04,0.644,0.55,0.115
0.043,0.313,0.641,0.118
0.307,0.4,0.499,0.263
0.139,0.434,0.008,0.281
0.04,0.146,0.271,0.19
0.008,0.403,0.664,0.356
0.008,0.348,0.122,0.279
0.008,0.118,0.53,0.582
0.008,0.434,0.272,0.566
0.317,0.375,0.078,0.645
0.008,0.025,0.4,0.534
0.059,0.459,0.772,0.629
0,0.008,0.312,0.462
0.141,0.029,0.008,0.414
0.171,0.525,0.882,0.463
0.403,0,0.582,0.279
0.162,0.407,0.139,0.311
0.274,0.008,0.008,0.356
0.317,0.381,0.008,0.389
0.008,0.448,0.008,0.375
0.372,0.396,0.376,0.413
0.044,0.375,0.282,0.272
0.245,0.298,0.215,0.319
0.635,0.752,0.477,0.626
0.622,0.733,0.142,0.766
0.626,0.626,0.463,0.579
0.626,0.043,0.117,0.766
0.117,0.579,0.038,0.907
0.043,0.131,0.581,1
0,0.116,0.626,0.766
0.127,0.579,0.673,0.673
0.117,0.05,0.259,0.766
0.571,0.127,0.436,0.766
0.463,0.269,0.673,0.86
0.05,0.416,0.507,0.766
0.579,0.26,0.411,0.673
0.093,0.047,0.907,0.72
0.018,0.123,0.766,0.673
0.584,0.766,0.601,0.673
0.324,0.121,0.788,0.766
0.533,0.548,0.461,0.571
0.258,0.106,0.11,0.635
0.673,0.416,0.37,0.732
0.766,0.038,0.404,0.862
0.65,0.145,0.71,0.787
0.766,0.517,0.217,0.753
0.591,0.753,0.673,0.753
0.058,0.71,0.817,0.882
0.579,0.404,0.86,0.903
0.056,0.72,0.731,0.774
0.367,0.689,0.416,0.712
0.13,0.283,0.637,0.819
0.817,0.154,0.726,0.791
0.416,0.766,0.427,0.663
0.731,0.387,0.766,0.527
0.533,0.501,0.501,0.551
0.047,0.673,0.294,0.684
0.796,0.09,0.331,0.437
0.626,0.673,0.634,0.513
0.907,0.673,0.392,0.556
0.117,0.183,0.346,0.803
0.579,0.463,0.673,0.357
0.018,0.766,0.11,0.625
0.047,0.549,0.375,0.878
0.034,0.369,0.232,0.444
0.579,0.63,0.621,0.581
0.594,0.142,0.325,0.787
0.126,0.228,0.367,0.719
0.062,0.298,0.766,0.682
0.279,0.309,0.189,0.444
0.573,0.117,0.492,0.384
0.463,0.635,0.579,0.467
0.103,0.533,0.753,0.477
0.396,0.05,0.673,0.054
0.018,0.766,0.038,0.396
0.418,0.533,0.333,0.269
0.626,0.028,0.766,0.584
0.089,0.485,0.505,0.317
0.466,0.114,0.408,0.373
0.227,0.212,0.774,0.451
0.935,0.71,0.581,0.592
0.183,0.056,0.626,0.461
0.327,0.129,0.635,0.615
0.013,0.21,0.235,0.364
0.808,0.21,0.289,0.615
0.579,0.142,0.411,0.407
0.161,0.367,0.626,0.473
0.047,0.416,0.579,0.919
0.024,0.018,0.223,0.561
0.008,0.455,0.316,0.521
0.034,0.194,0.473,0.362
0,0.211,0.923,0.268
0.193,0.157,0.028,0.487
0.172,0.218,0.017,0.697
0,0.039,0.391,0.287
0.381,0.152,0.816,0.365
0.19,0.223,0.852,0.351
0.328,0.311,0.896,0.632
0.086,0.031,0.779,0.282
0,0.294,0.539,0.416
0.806,0.086,0.385,0.322
0.068,0.24,0.086,0.311
0.495,0.461,0.337,0.824
0.563,0.314,0.17,0.906
0.337,0.893,0.244,0.793
0.103,0.176,0.264,0.858
0.12,0.272,0.876,0.708
0.292,0.294,0.185,0.735
0.327,0.248,0.181,0.8
0.163,0.103,0.232,0.207
0.867,0.265,0.537,0.942
0,0.316,0.706,0.73
0.469,0.17,0.294,0.293
0.176,0.461,0.795,0.552
0.297,0.24,0.48,0.176
0.197,0,0.288,0.772
0,0.27,0.344,0.817
0.299,0.144,0.878,0.859
0.017,0.266,0.179,0.758
0.918,0.203,0.368,0.69
0.722,0.412,0,0.969
0,0.444,0.046,0.935
0.145,0.017,0,0.961
0.984,0.316,0.631,0.968
0.086,0.455,0.294,0.617
0.456,0.115,0.744,0.628
0.576,0.609,0.961,1
0,0.359,0.496,0.99
0.011,0.444,0.536,0.703
0.464,0,0.509,0.595
0,0.643,0.697,0.622
0.705,0.149,0.303,0.307
0.326,0.393,0.616,0.399
0.031,0,0.201,0.039
0.266,0.42,0.454,0.12
0.12,0.187,0.103,0.278
0.505,0,0.407,0.264
0.294,0.35,0.1,0.329
0.012,0,0.195,0.065
0,0.039,0.706,0.439
0.394,0.277,0.51,0.301
0,0.697,0.532,0.945
0.244,0.782,0.202,0.753
0.057,0.503,0,0.42
0,0.137,0.236,0.568
0,0.315,0.438,0.593
0,0.12,0.677,0.12
0.181,0.302,0.4,0.325
0,0.294,0.457,0.065
0.031,0.339,0.419,0
0.467,0.378,0.298,0.574
0.234,0.273,0.267,0.459
0.079,0.181,0.535,0.356
0.585,0,0.902,0.382
0.332,0.25,0.247,0.248
0.767,0,0.218,0.236
0.28,0.563,0.906,0.149
0.046,0.55,0.262,0.493
0.209,0.012,0.552,0.044
0,0.017,0,0.96
0.14,0.017,0.053,0
0.344,0.011,0.455,0.962
0.059,0.066,0.889,0.96
0.296,0.123,0.96,0.965
0.552,0.044,0.077,0.879
0.122,0,0.012,0.956
0.923,0.116,0.074,0.954
0.296,0,0.523,0.953
0.016,0.026,0.089,0.954
0.11,0.053,0.011,0.956
0.016,0.017,0,0.957
0.017,0.011,0.11,0.965
0.012,0.031,0.55,0.965
0.612,0.149,0.01,0.965
0.372,0.074,0.14,0.976
0.048,0.016,0.118,0.88
0.074,0,0.123,0.889
0.413,0.016,0.24,0.883
0.014,0.14,0.015,0.868
0.017,0.011,0.082,0.889
0.297,0.014,0.012,0.872
0.015,0.064,0,0.673
0.361,0,0.029,0.841
0,0,0.122,0.762
0.962,0.053,0.014,0.993
0,0.908,0.104,0.874
0.781,0.011,0.885,0.693
0,0.113,0.104,0
0.331,0.021,0.067,0.791
0.053,0.113,0.117,0.685
0,0.029,0.924,0.904
0.017,0.122,0.188,0.649
0.017,0,0.705,0.623
0.026,0.012,0.707,0.937
0.851,0.089,0.388,0.373
0,0.156,0.078,0.519
0.176,0.007,0.516,0.434
0,0.101,0,0.451
0.115,0.017,0.655,0.327
0.333,0,0.089,0.482
0.98,0.029,0.113,1
0.014,0,0.016,0.61
0.054,0.015,0,0.55
0.017,0.016,0.014,0.594
0.893,0,0,0.924
0.013,0,0.075,0.49
0.294,0.036,0.52,0.764
0.129,0.017,0.891,0.502
0.968,0.016,0.497,0.647
0.316,0.14,0.093,1
0.265,0.016,0,0.118
0.735,0.017,0.066,0.685
0.113,0.104,0.087,0.904
0.956,0,0,1
0.036,0.113,0.017,0.918
0.408,0,0.016,0.932
0.101,0,0,0.572
0.059,0.121,0.059,0.93
0.014,0.054,0.053,0.917
0.116,0.96,0.007,0.918
0.017,0,0,0.562
0,0,0.015,0.987
0.902,0.123,0.976,1
0.2,0.015,0.893,0.671
0.016,0.071,0.074,0.96
0,0.741,0.463,0.037
0.862,0.011,0.939,0.209
0.304,0.032,0.971,0.286
0,0.037,0.634,0.655
0.986,0.012,0.417,0.403
0.72,0.008,0.124,0.695
0.867,0.442,0.877,0.845
0.021,0.576,0.379,0.053
0.978,0.657,0.991,0.783
0.971,1,0.299,0.056
0.3,0.978,0.525,0.97
0.388,0.14,0.097,0.985
0.174,0.012,0.056,0.916
0.966,0.581,0.415,0.991
0.01,0.395,0.871,0.668
0.021,0.666,0.059,1
0.607,0.121,0.209,0.012
0.551,0.012,0.046,0.549
1,0.039,0.033,0.073
0,0.08,1,0
0.853,0.053,0.14,0.834
0.501,0.061,0,0.53
1,0.733,0,0.61
0.013,0.037,0.097,0.509
0,0.039,0.416,0.926
0.449,0.587,1,0.356
0,0.14,0.028,0.066
0.348,0.971,0.927,0.864
0.082,0.018,0.364,0.864
0.622,0.631,0.985,0.834
0.336,0.963,0.038,0.854
0.014,0.417,0.69,0.605
0.161,0.012,0.511,0.862
0.689,0.018,0.948,0.028
0.12,0.024,1,0.033
0.363,0.854,0.485,0.033
0.037,0.024,0.632,0.034
0,0.478,0.092,0.971
0.965,0.011,0.991,0.873
0.035,0.005,0.729,0.926
0.504,0.03,0.386,0.81
0.004,0.161,0.903,0.039
0.018,0.03,0.03,1
0.189,0.753,0.991,0.837
0.348,0.011,0.018,0.948
0,0.986,0.012,0.575
0.167,0.177,0.633,0.96
0.03,0.021,0.449,0.388
0.026,0.94,0.03,0.986
0.906,0.113,0.493,0.38
0.246,0.127,0.433,0.711
1,0.012,0.059,1
0.898,0.74,0.097,0.947
0.551,0.037,0.012,0.284
0.66,0.026,0.43,1
0.046,0.963,0.463,0.417
0.962,0.033,0.466,0.986
0,0.553,0.511,0.965
0.03,0.374,0.417,0.648
0.817,0.026,0.862,0.012
0,0.463,0.245,0.269
0.03,0.012,0.012,0.53
0.986,0,0.606,0.549
0.855,0,0.067,0.503
0.012,0.022,0.641,0.986
1,0.545,0.464,0.588
0.4,0.053,0,0.947
0.579,0.24,0.84,0.603
0.861,0.186,0.169,0.723
0.085,0.24,0.468,0.88
0.719,0.156,0.399,0.653
0.587,0.043,0.595,0.675
0.226,0.14,0.466,0.506
0.627,0.918,0.31,0.458
0.111,0,0.245,0.578
0.17,0.12,0.85,0.036
0.362,0.007,0.864,0.482
0.253,0,0.139,0.18
0.482,0.634,0.404,0.554
0.464,0.361,0.19,0.578
0.331,0.012,0.416,0.253
0.211,0.506,0.602,0.229
0.244,0.176,0.281,0.036
0.036,0.15,0.386,0.85
0.244,0.104,0.807,0.849
0.182,0.012,0.116,0.817
0.178,0.252,0.814,0.227
0.169,0.783,0.534,0.104
0.858,0.104,0.878,0.504
0.843,0.939,0.249,0.297
0.549,0.158,0,0.83
0.468,0.338,0.555,0.847
0.146,0.578,0.602,0.864
0.379,0.855,0.603,0.858
0.579,0.114,0.301,0.878
0.433,0.168,0.578,0.949
0.375,0.185,0.833,0.955
0.924,0.49,0.241,0.798
0.116,0.057,0.42,0.955
0.108,0.776,0.31,0.692
0.395,0.156,0.614,0.562
0.304,0.579,0.291,0.358
0.123,0.84,0.65,0.554
0.194,0.11,0.351,0.413
0.138,0.644,0.585,0.64
0.783,0.114,0.823,0.247
0.176,0.264,0.332,0.994
0.111,0.214,0.63,0.207
0.924,0.362,0.389,0.56
0.918,0.482,0.578,0.874
0.578,0.404,0.918,0.747
0.156,0.466,0.603,0.515
0.078,0.185,0.557,0.627
0.143,0.259,0.571,0.542
0.396,0.302,0.253,0.635
0.111,0.27,0.847,0.491
0.914,0.104,0.297,0.437
0.447,0.393,0.036,0.763
0.506,0.578,0.747,0.737
0.338,0.438,0.627,0.276
0.519,0.218,0.482,0.159
0.409,0.043,0.315,0.13
0.06,0.779,0.536,0.203
0.647,0.357,0.28,0.381
0.227,0.134,0.376,0.494
0.882,0.793,0.185,0.599
0.185,0.099,0.457,0.551
0.158,0.565,0.949,0.437
0.734,0.897,0.198,0.329
0.254,0.176,0.835,0.477
0.924,0.53,0.27,0.609
0.185,0.177,0.723,0.569
0.31,0.185,0.152,0.49
0.913,0.399,0.263,0
0.137,0.255,0,0
0.616,1,0.081,0.045
0.516,0.631,1,0
0.299,1,0.415,0.988
0.415,1,0.85,0.919
0.402,0.239,0.52,0.958
0.9,0.978,0.88,0.865
0.552,0.532,0.934,0.972
0.175,0.684,0,0.139
0.652,0.581,0,0.977
0.851,0.98,0.102,0.06
0.114,0.022,0.153,0.973
0.758,0.091,0.114,0.139
0.022,0.052,0.171,0.06
0.752,1,1,0.06
0.546,0.072,0.245,0.075
0.106,0.367,0.06,0.312
0.121,0.193,0.037,0.495
0.037,0.037,0.476,0.529
0.934,1,0,0.853
0.408,0.365,0.163,0.932
0.371,0.825,0.878,0.489
0.68,0.239,0,0.688
0.487,0.479,0.711,0.402
0.569,0.06,0.366,0.283
0.007,0.119,0.957,0.854
0.141,0.775,0.9,0.207
0.434,0.068,0.044,0.798
0.9,0.137,0.102,0.671
0.398,0.444,0.034,0.872
0.59,0.546,0,0.853
0.756,0.462,0.516,0.55
0.052,0.538,0.962,0.743
0.923,0.079,0.881,0.522
0.137,0.548,0.184,0.752
0.638,0.884,0.141,0.476
0.207,0.9,0.274,1
0.114,0.39,0.06,1
0.697,0.089,0.675,0.978
0.301,0.497,0.269,0.516
0.48,0.387,0.978,0.839
0.075,0.291,0.591,0.962
0.114,0.986,0.683,1
0.109,0.978,0.562,1
0.444,0.73,0.59,0.858
0.091,0.684,0.891,0.846
0.627,0.978,0.529,1
0.182,0.246,0.978,0.934
0.349,0.06,0.934,0.124
0.856,0.247,0.091,0.276
0.939,0.978,0.413,0.137
0.906,0.529,0.862,0.081
0.106,0.904,0.926,0.287
0.463,0.282,0.972,0.058
0.379,0,0.402,0.32
0,0.399,0.98,0.979
0.384,0.098,0.543,0.069
0.415,0.661,0.291,0.081
0.962,0.442,0.65,0.487
0.102,0.424,0.367,0.32
0.55,0.195,0.569,0.284
0.572,0.439,0.662,0.443
0.074,0.56,0.704,0.262
0.143,1,0.616,0.282
0.907,0.305,0.786,0.487
0.56,0.839,0.386,0.718
