Predicting,BeforeorAfter,Lateness,CNVSlope
Predicting,Before,1,0.0171342774604758
Predicting,Before,1,0.00216504793691759
Predicting,Before,1,0.00234898331109434
Predicting,Before,1,0.000105403363704681
Predicting,Before,1,-0.0096218166872859
Predicting,Before,1,-0.0115171617750699
Predicting,Before,1,0.0107673794652025
Predicting,Before,1,0.00763176567852497
Predicting,Before,1,0.00530545103053252
Predicting,Before,1,0.0103362367954105
Predicting,Before,1,0.0182592718241115
Predicting,Before,1,-0.0103415342358251
Predicting,Before,1,-0.0027625472478879
Predicting,Before,1,-0.0114930865820497
Predicting,Before,1,-0.00414778543442177
Predicting,Before,1,-0.00630859929757814
Predicting,Before,1,0.00815455475822091
Predicting,Before,1,0.0113656305087109
Predicting,Before,1,0.000671829329803586
Predicting,Before,1,-0.000378904864192009
Predicting,Before,1,-0.00199416737693051
Predicting,Before,1,-0.00631229505718996
Predicting,Before,1,-0.00543799577280879
Predicting,Before,1,-0.00194693574060996
Predicting,Before,1,-0.00617444297919671
Predicting,Before,1,-0.0109276009413103
Predicting,Before,1,-0.00153169877982388
Predicting,Before,1,-0.0158745857576529
Predicting,Before,1,-0.0214779469727849
Predicting,Before,1,0.00863676890730858
Predicting,Before,1,-0.0125493976520374
Predicting,Before,1,0.000950773557027181
Predicting,Before,1,-0.0128382458351552
Predicting,Before,1,-0.00446820165961981
Predicting,Before,1,0.0107851310943564
Predicting,Before,1,0.00893138162791729
Predicting,Before,1,0.00818273646291345
Predicting,Before,1,-0.0037127433073086
Predicting,Before,1,0.00545790543158849
Predicting,Before,1,-0.00435231827820341
Predicting,Before,1,0.0213480590221783
Predicting,Before,1,0.012264611509939
Predicting,Before,1,-0.0132603403180838
Predicting,Before,1,0.00607077249636253
Predicting,Before,1,-0.0124102793633938
Predicting,Before,1,0.000508681250115236
Predicting,Before,1,-0.0106555496652921
Predicting,Before,1,-0.0115393021454414
Predicting,Before,1,-0.0163233960047364
Predicting,Before,1,-0.00752809301775414
Predicting,Before,1,0.00244278119256099
Predicting,Before,1,0.0431230726341406
Predicting,Before,1,0.00670770819609364
Predicting,Before,1,0.0256648231297731
Predicting,Before,1,0.00257502620418866
Predicting,Before,1,-0.00437976055157681
Predicting,Before,1,0.00644884025678039
Predicting,Before,2,0.000624704485138257
Predicting,Before,2,-0.00742837212358912
Predicting,Before,2,0.0113200408716997
Predicting,Before,2,0.00525860379760464
Predicting,Before,2,-0.000508388349165519
Predicting,Before,2,0.0071154433923463
