LateBeforeNopre,CNVBeforeNopre,LateAfterNopre,CNVAfterNopre
2,-0.0006893256213516,1,0.0091281128115952
4,0.00963457126636058,1,-0.00015407643513754
3,0.000708443578332663,2,-0.00863328731308381
1,0.00628045445773751,2,0.0116521967574954
3,-0.00345778383780271,2,0.00949106893191735
2,-0.00322887445023904,1,-0.0019727754406631
2,-0.00122474097103501,4,-0.00673290311048428
2,0.00719450771187743,3,-0.00458273225619147
4,-0.0191311724483967,1,0.00482915450508396
4,0.00705413349593679,1,0.00840490777045488
1,-0.00301262852735817,3,0.0132941237340371
1,0.00224709087827553,2,-0.00669301922122637
4,-0.00728411059632587,4,0.00350836509217819
2,0.00769218460967143,4,-0.0119246144458884
2,-0.00490326217065255,2,0.000641863259564464
3,-0.00331121558944384,1,-0.0204127210502823
3,-0.0117906164377928,4,0.00234671774766563
1,0.00172177682300874,2,-0.00649886143704255
1,-0.000340571258372317,3,-0.0038546643142278
1,-0.00168001194833778,2,0.00303524715127423
1,-0.00958609705169996,4,0.00212305566916863
4,0.00746700136611859,2,-0.00985582467789451
3,-0.0118741889794668,1,-0.00730777710365752
3,-0.00761320488527417,4,0.00337688190241655
4,-0.00873276311904192,1,-0.00912763550877571
3,-0.00500980811193585,2,8.39787535369396e-05
3,-0.00906362500973046,3,-0.0131792798638344
3,0.0221648601194223,3,0.00249090433741609
1,-0.027416264017423,2,-0.000393339413373421
3,-0.010922328568995,2,-0.00323821379182239
1,0.0212350161746144,1,-0.00630544809003671
3,0.0134396180510521,4,0.0113106321853896
2,-0.00232380349189043,4,-0.0138671817258
3,-0.00304489806876518,3,-0.00158018603300055
3,0.00175968006563683,1,-0.00418364132444064
1,0.00102434858369331,3,0.00859643084307512
4,-0.00838145706802607,3,-0.00293480496232708
2,-0.0112081835201631,4,0.00155916949734092
2,-0.00235379592049867,3,-0.00832314044237137
2,0.00567738502286375,1,-0.0019221812641869
4,-0.00636563014510709,1,0.0202094359944264
2,-0.00199925665704844,2,-0.00101009019029637
2,0.00209814558426539,2,0.002234545070678
3,0.00962026934333456,1,-0.00349689461290836
3,0.000749018994004776,4,0.00121633786087235
4,0.000463366780119638,2,-0.00067060844351848
2,0.0158181289831797,4,0.0155676522602638
1,-0.00233376891507457,3,0.00147062237374485
1,0.00824956661866357,3,0.00585244161387285
3,-0.000568723296358561,1,0.00253364133338133
1,0.0062887646490708,1,0.0102122944469253
4,0.00442664129271482,4,0.0108766748259465
4,0.00874253300329049,4,-0.0208810952802499
2,-0.000175267457962036,3,-0.00158644836240758
2,-0.000538110267370939,2,0.00783234120657047
3,-6.24920746001105e-05,3,0.00335832188526789
2,-0.00142043048981577,2,-0.00153195951133966
3,-0.00227914603116612,4,-0.0128792362908522
3,-0.00502279020535449,1,0.00380852729237328
2,0.00900180265307426,2,-0.00102252735329481
2,-0.00651518348604441,3,0.00490803690627217
1,0.00842488432923953,4,-0.005434278321142
4,0.00655002535010378,3,0.00312954532758643
1,0.00177549543635299,3,-0.00278585528333982
1,0.000597440948088964,1,0.00141576048918068
4,0.00301303832869356,4,-0.00976777154331406
3,0.0128966731329759,2,0.0116349092374245
1,-0.0136818077104787,1,-0.00597116444259882
3,-0.0066022276696458,4,0.0125580015204226
1,-0.00195086933672428,4,-0.0159634668380022
2,-0.0201150067150593,2,0.00802937312982976
2,0.0100051077703635,1,0.0041475585118557
4,0.00494013509402672,3,0.00241101026767865
3,-0.00576670995603005,3,0.000459247409404876
4,-5.49642524371544e-05,1,0.00796117618059119
1,0.0030221597213919,1,-0.00528139962504307
3,-0.00184477105115851,2,0.000768109729203085
2,0.0119788311421871,1,0.0104373020197575
2,-0.00404401620229085,4,-0.0124708904574315
4,-0.00777156945938865,1,-0.0133766901368896
3,0.00424547896788378,1,0.00598778234173854
1,0.00564810330979526,4,-0.00516514666378498
3,0.000190458376891911,2,0.000193642529969414
4,-0.00407801370602101,3,-0.00619877563925305
4,-0.00408819449755053,2,-0.0066554358539482
3,-0.00163258829464515,4,0.000768532603008983
1,-0.00318529976842304,3,0.000204201855619128
4,0.000997459671149651,3,-0.00911889021517709
4,-0.00183403491973877,4,0.00731635256670415
1,0.0145457995434602,4,0.00551864985997478
1,-0.00543616851791739,1,0.00406318266565601
3,-0.0167762283235788,1,-0.00577976120014985
1,-0.00944327901136906,1,0.0107220954572161
1,0.000963060767389834,1,0.00385780683670115
3,-0.00811905382821957,2,0.0127482380097111
2,-0.00888126719898234,4,-0.00660422444343567
1,-0.0010526156402193,3,-0.00861456850543618
1,0.00409382573949794,3,-0.0160177331417799
2,-0.0154333716879288,3,0.00592555288070192
1,0.0016341555553178,4,0.00152895323117264
1,0.00927852854753534,3,0.00682999302322666
3,-0.00413003462987642,3,-0.00624220756193002
3,-0.0131996385753155,2,0.0162258831163247
1,0.00784268199155728,2,-0.0112250577658415
3,0.00610821989054481,3,-0.00259774624525259
3,0.0101022568220894,4,-0.000359315735598405
4,0.00258499865109722,3,-0.00763140991330147
3,-0.00132782175205648,2,0.00690081746627887
1,0.0103085171431303,3,0.00277185560359309
2,0.00779127236455679,2,-0.00519690297854443
1,0.00582670451452335,4,0.00100836856290698
4,0.00156401346127192,2,-0.00254134344868362
1,0.0089332244436567,1,0.00281645730137825
2,0.00540077282736699,1,0.00221261479115734
4,0.00251953823802372,4,-0.00716179287216316
2,-0.00362505166170498,2,-0.0033650918242832
4,0.00924952669690053,3,-0.000998156804901858
3,-0.022810373455286,2,0.00491578644141555
2,0.00141530204564333,3,-0.0157585460692644
2,0.000815416967573886,1,-0.00548180324646334
4,-0.000191032498454054,4,-0.00572410753617684
3,0.00729498942382634,2,-0.000646486538850392
3,-0.00341474268740664,4,0.008769107516855
3,0.00859009986743331,3,-0.00849479980145892
1,-0.00255533845969088,2,-0.0101058467601736
3,-0.00290476202887172,1,-0.00197391516606634
3,-0.0129662128165364,4,0.00191731719921033
2,-0.000879042083397508,4,0.00739932851865888
3,-0.00288339748901005,2,0.00474456429947168
3,0.00362358995092412,2,-0.0103151956573129
2,0.00930590927600861,1,-0.00382724334485829
1,-0.00667818387349447,4,-0.00122247483038033
4,-0.0114486826738964,4,0.000984486580515901
2,0.00102956131255875,4,0.00124690696247853
1,-0.00967642571777105,3,4.95735633497437e-05
4,0.00394935626536608,2,0.00328759748178224
4,-0.000212134250129263,1,-0.0135483018433054
4,0.00476218030477564,1,-0.00112540119638046
2,-0.00188134366180748,3,-0.00380097321855525
1,0.00591831010145446,2,0.00382294364195938
4,-0.00243617842594782,3,0.00971183173047999
2,-0.00595678668469191,4,-0.00921392183348265
1,0.00818727786342303,3,-0.00451807056864103
1,0.00416165310889482,2,-0.00296557834371924
2,0.00547441646146278,3,-0.0113686950256427
4,-0.0182453511903683,2,0.0108348097031315
4,-0.00454738111390422,4,-0.0163591282131771
4,0.000898184021934867,3,0.00167007961620887
4,-0.00548295377908895,3,-0.000401819745699565
2,0.00526674087935438,3,0.00218385846043626
3,-0.00811245975395044,3,0.0159652891258399
4,0.0032345651416108,3,0.0106846125175556
2,-0.00234331542742439,1,0.00835902336984873
4,0.00129056706403693,4,0.00584260529528062
2,-0.00828184684117635,2,0.0116976906235019
2,-0.00809280512233575,1,0.00301242043497041
1,0.00131132236371438,1,-0.000654048829649886
4,0.0100354027623932,3,0.00666147665469907
1,0.00470879813656211,4,0.000191384460777044
3,-0.000131832377519459,4,-0.00835836585611105
1,-0.0130675782759984,2,0.0111722952375809
4,-0.0174002700174848,1,0.01373911749882
